Index,ID,Name
1,TU_001,MG_001 - MG_002
2,TU_002,MG_003 - MG_004
3,TU_003,MG_005 - MG_009
4,TU_004,MG_010
5,TU_005,MG_011 - MG_012
6,TU_006,MG_013
7,TU_007,MG471 - MG472
8,TU_008,MG_014 - MG_015
9,TU_009,MG_018
10,TU_010,MG_019 - MG_021
11,TU_011,MG_022 - MG_024
12,TU_012,MG_025
13,TU_013,MG_026 - MG_028
14,TU_014,MG_029 - MG_031
15,TU_015,MG_032
16,TU_016,MG_033
17,TU_017,MG_034
18,TU_018,MG_035
19,TU_019,MG_036
20,TU_020,MG_037
21,TU_021,MG_038
22,TU_022,MG_039
23,TU_023,MG_040
24,TU_024,MG_041
25,TU_025,MG_042 - MG_044
26,TU_026,MG_045
27,TU_027,MG_046 - MG_047
28,TU_028,MG_048
29,TU_029,MG_049 - MG_051
30,TU_030,MG_052 - MG_053
31,TU_031,"MG_054, MG_055, MG_473"
32,TU_032,"MG_056, MG_057, MG_474"
33,TU_033,MG_058
34,TU_034,MG_059
35,TU_035,MG_060
36,TU_036,MG_061
37,TU_037,MG475
38,TU_038,MG_062
39,TU_039,MG_063
40,TU_040,MG_064 - MG_065
41,TU_041,MG_066
42,TU_042,MG_067 - MG_068
43,TU_043,MG_069
44,TU_044,MG_070
45,TU_045,MG_071
46,TU_046,MG_072
47,TU_047,MG_073
48,TU_048,MG_074
49,TU_049,MG_075
50,TU_050,MG_076
51,TU_051,MG_077 - MG_080
52,TU_052,MG_081 - MG_082
53,TU_053,MG_083
54,TU_054,MG_084 - MG_085
55,TU_055,MG_086 - MG_089
56,TU_056,MG_090
57,TU_057,MG_091
58,TU_058,MG_092
59,TU_059,MG_093 - MG_095
60,TU_060,MG_096
61,TU_061,MG_097
62,TU_062,MG_098 - MG_100
63,TU_063,MG_101 - MG_103
64,TU_064,MG_476
65,TU_065,MG_104
66,TU_066,MG_105
67,TU_067,MG_106
68,TU_068,MG_107 - MG_110
69,TU_069,MG_111 - MG_112
70,TU_070,MG_113
71,TU_071,MG_114
72,TU_072,MG_115
73,TU_073,MG_116 - MG_118
74,TU_074,MG_119 - MG_122
75,TU_075,MG_123
76,TU_076,MG_124 - MG_125
77,TU_077,MG_126
