Index,ID,Name
1,MG_001_MONOMER,"DNA polymerase III, beta subunit"
2,MG_002_MONOMER,DnaJ domain protein
3,MG_003_MONOMER,"DNA gyrase, B subunit"
4,MG_004_MONOMER,"DNA gyrase, A subunit"
5,MG_005_MONOMER,seryl-tRNA synthetase
6,MG_006_MONOMER,thymidylate kinase
7,MG_007_MONOMER,"DNA polymerase III delta prime subunit, putative"
8,MG_008_MONOMER,tRNA modification GTPase TrmE
9,MG_009_MONOMER,deoxyribonuclease
10,MG_010_MONOMER,DNA primase-related protein
11,MG_011_MONOMER,
12,MG_012_MONOMER,alpha-L-glutamate ligase
13,MG_013_MONOMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
14,MG_014_MONOMER,"multidrug ABC transporter, ATP-binding/permease protein"
15,MG_015_MONOMER,"multidrug ABC transporter, ATP-binding/permease protein"
16,MG_018_MONOMER,SNF2 family helicase putative
17,MG_019_MONOMER,chaperone protein DnaJ
18,MG_020_MONOMER,proline iminopeptidase
19,MG_021_MONOMER,methionyl-tRNA synthetase
20,MG_022_MONOMER,"DNA-directed RNA polymerase, delta subunit"
21,MG_023_MONOMER,"fructose-1,6-bisphosphate aldolase, class II"
22,MG_024_MONOMER,GTP-binding protein YchF
23,MG_025_MONOMER,Beta-glycosyl transferase
24,MG_026_MONOMER,translation elongation factor P
25,MG_027_MONOMER,transcription termination/antitermination protein NusB
26,MG_028_MONOMER,
27,MG_029_MONOMER,DJ-1/PfpI family protein
28,MG_030_MONOMER,uracil phosphoribosyltransferase
29,MG_031_MONOMER,"DNA polymerase III, alpha subunit, Gram-positive type"
30,MG_032_MONOMER,
31,MG_033_MONOMER,glycerol uptake facilitator
32,MG_034_MONOMER,thymidine kinase
33,MG_035_MONOMER,histidyl-tRNA synthetase
34,MG_036_MONOMER,aspartyl-tRNA synthetase
35,MG_037_MONOMER,nicotinate phosphoribosyltransferase
36,MG_038_MONOMER,glycerol kinase
37,MG_039_MONOMER,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
38,MG_040_MONOMER,"Monosaccharide (riboside/galactoside) ABC transporter, substrate binding protein"
39,MG_041_MONOMER,"PTS system, HPr"
40,MG_042_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, ATP-binding protein, putative"
41,MG_043_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, permease protein, putative"
42,MG_044_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, permease protein, putative"
43,MG_045_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, spermidine/putrescine binding protein, putative"
44,MG_046_MONOMER,metalloendopeptidase
45,MG_047_MONOMER,S-adenosylmethionine synthetase
46,MG_048_MONOMER,signal recognition particle protein
47,MG_049_MONOMER,purine nucleoside phosphorylase
48,MG_050_MONOMER,deoxyribose-phosphate aldolase
49,MG_051_MONOMER,pyrimidine-nucleoside phosphorylase
50,MG_052_MONOMER,cytidine deaminase
