Index,ID,Name,Type
1,MG_001_MONOMER,"DNA polymerase III, beta subunit",nascent
2,MG_002_MONOMER,DnaJ domain protein,nascent
3,MG_003_MONOMER,"DNA gyrase, B subunit",nascent
4,MG_004_MONOMER,"DNA gyrase, A subunit",nascent
5,MG_005_MONOMER,seryl-tRNA synthetase,nascent
6,MG_006_MONOMER,thymidylate kinase,nascent
7,MG_007_MONOMER,"DNA polymerase III delta prime subunit, putative",nascent
8,MG_008_MONOMER,tRNA modification GTPase TrmE,nascent
9,MG_009_MONOMER,deoxyribonuclease,nascent
10,MG_010_MONOMER,DNA primase-related protein,nascent
11,MG_011_MONOMER,,nascent
12,MG_012_MONOMER,alpha-L-glutamate ligase,nascent
13,MG_013_MONOMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,nascent
14,MG_014_MONOMER,"multidrug ABC transporter, ATP-binding/permease protein",nascent
15,MG_015_MONOMER,"multidrug ABC transporter, ATP-binding/permease protein",nascent
16,MG_018_MONOMER,SNF2 family helicase putative,nascent
17,MG_019_MONOMER,chaperone protein DnaJ,nascent
18,MG_020_MONOMER,proline iminopeptidase,nascent
19,MG_021_MONOMER,methionyl-tRNA synthetase,nascent
20,MG_022_MONOMER,"DNA-directed RNA polymerase, delta subunit",nascent
21,MG_023_MONOMER,"fructose-1,6-bisphosphate aldolase, class II",nascent
22,MG_024_MONOMER,GTP-binding protein YchF,nascent
23,MG_025_MONOMER,Beta-glycosyl transferase,nascent
24,MG_026_MONOMER,translation elongation factor P,nascent
25,MG_027_MONOMER,transcription termination/antitermination protein NusB,nascent
26,MG_028_MONOMER,,nascent
27,MG_029_MONOMER,DJ-1/PfpI family protein,nascent
28,MG_030_MONOMER,uracil phosphoribosyltransferase,nascent
29,MG_031_MONOMER,"DNA polymerase III, alpha subunit, Gram-positive type",nascent
30,MG_032_MONOMER,,nascent
31,MG_033_MONOMER,glycerol uptake facilitator,nascent
32,MG_034_MONOMER,thymidine kinase,nascent
33,MG_035_MONOMER,histidyl-tRNA synthetase,nascent
34,MG_036_MONOMER,aspartyl-tRNA synthetase,nascent
35,MG_037_MONOMER,nicotinate phosphoribosyltransferase,nascent
36,MG_038_MONOMER,glycerol kinase,nascent
37,MG_039_MONOMER,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative",nascent
38,MG_040_MONOMER,"Monosaccharide (riboside/galactoside) ABC transporter, substrate binding protein",nascent
39,MG_041_MONOMER,"PTS system, HPr",nascent
40,MG_042_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, ATP-binding protein, putative",nascent
41,MG_043_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, permease protein, putative",nascent
42,MG_044_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, permease protein, putative",nascent
43,MG_045_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, spermidine/putrescine binding protein, putative",nascent
44,MG_046_MONOMER,metalloendopeptidase,nascent
45,MG_047_MONOMER,S-adenosylmethionine synthetase,nascent
46,MG_048_MONOMER,signal recognition particle protein,nascent
47,MG_049_MONOMER,purine nucleoside phosphorylase,nascent
48,MG_050_MONOMER,deoxyribose-phosphate aldolase,nascent
49,MG_051_MONOMER,pyrimidine-nucleoside phosphorylase,nascent
50,MG_052_MONOMER,cytidine deaminase,nascent
51,MG_053_MONOMER,"phosphoglucomutase/phosphomannomutase, putative",nascent
52,MG_054_MONOMER,"transcription antitermination protein NusG, putative",nascent
53,MG_055_MONOMER,"preprotein translocase, SecE subunit",nascent
54,MG_473_MONOMER,ribosomal protein L33 type 2,nascent
55,MG_474_MONOMER,,nascent
56,MG_056_MONOMER,tetrapyrrole (corrin/porphyrin) methylase protein,nascent
57,MG_057_MONOMER,small primase-like protein,nascent
58,MG_058_MONOMER,ribose-phosphate pyrophosphokinase,nascent
59,MG_059_MONOMER,SsrA-binding protein,nascent
60,MG_060_MONOMER,glycosyl transferase,nascent
61,MG_061_MONOMER,Mycoplasma MFS transporter,nascent
62,MG_062_MONOMER,"PTS system, fructose-specific IIABC component",nascent
63,MG_063_MONOMER,"1-phosphofructokinase, putative",nascent
64,MG_064_MONOMER,"ABC transporter, permease protein, putative",nascent
65,MG_065_MONOMER,"ABC transporter, ATP-binding protein",nascent
66,MG_066_MONOMER,transketolase,nascent
67,MG_067_MONOMER,"lipoprotein, putative",nascent
68,MG_068_MONOMER,"lipoprotein, putative",nascent
69,MG_069_MONOMER,"PTS system, glucose-specific IIABC component",nascent
70,MG_070_MONOMER,ribosomal protein S2,nascent
71,MG_071_MONOMER,"ATPase, P-type (transporting), HAD superfamily, subfamily IC",nascent
72,MG_072_MONOMER,"preprotein translocase, SecA subunit",nascent
73,MG_073_MONOMER,"excinuclease ABC, B subunit",nascent
74,MG_074_MONOMER,,nascent
75,MG_075_MONOMER,116 kDa surface antigen,nascent
76,MG_076_MONOMER,,nascent
77,MG_077_MONOMER,"oligopeptide ABC transporter, permease protein",nascent
78,MG_078_MONOMER,"oligopeptide ABC transporter, permease protein",nascent
79,MG_079_MONOMER,"oligopeptide ABC transporter, ATP-binding protein",nascent
80,MG_080_MONOMER,"oligopeptide ABC transporter, ATP-binding protein",nascent
81,MG_081_MONOMER,ribosomal protein L11,nascent
82,MG_082_MONOMER,ribosomal protein L1,nascent
83,MG_083_MONOMER,peptidyl-tRNA hydrolase,nascent
84,MG_084_MONOMER,tRNA(Ile)-lysidine synthetase,nascent
85,MG_085_MONOMER,HPr(Ser) kinase/phosphatase,nascent
86,MG_086_MONOMER,prolipoprotein diacylglyceryl transferase,nascent
87,MG_087_MONOMER,ribosomal protein S12,nascent
88,MG_088_MONOMER,ribosomal protein S7,nascent
89,MG_089_MONOMER,translation elongation factor G,nascent
90,MG_090_MONOMER,ribosomal protein S6,nascent
91,MG_091_MONOMER,single-strand binding protein family,nascent
92,MG_092_MONOMER,ribosomal protein S18,nascent
93,MG_093_MONOMER,ribosomal protein L9,nascent
94,MG_094_MONOMER,replicative DNA helicase,nascent
95,MG_095_MONOMER,"lipoprotein, putative",nascent
96,MG_096_MONOMER,,nascent
97,MG_097_MONOMER,"uracil-DNA glycosylase, putative",nascent
98,MG_098_MONOMER,"glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, C subunit",nascent
99,MG_099_MONOMER,"glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit",nascent
100,MG_100_MONOMER,"glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit",nascent
101,MG_101_MONOMER,Uncharacterized HTH-type transcriptional regulator,nascent
102,MG_102_MONOMER,thioredoxin-disulfide reductase,nascent
103,MG_103_MONOMER,,nascent
104,MG_476_MONOMER,"preprotein translocase, SecG subunit",nascent
105,MG_104_MONOMER,ribonuclease R,nascent
106,MG_105_MONOMER,putative DNA integrity scanning protein,nascent
107,MG_106_MONOMER,peptide deformylase,nascent
108,MG_107_MONOMER,guanylate kinase,nascent
